has-discussion,num-framework,num-models,has-data,Has-pre-trained,num-repositories-depend-on,num-repositories-depend-on-them,num-topics,has-quickexample,has-newbutton,has-photo,num-code-line,num-contributor,followers,public_repos,Label
0,0,2,1,0,13197,18850,10,1,0,0,285845,300,0,103,1
0,1,0,0,0,49,173352,8,1,1,1,6300000,420,0,103,1
0,1,2,0,1,30,1089,5,1,1,0,126016,240,0,103,1
0,1,1,1,1,5,0,8,1,0,0,539153,390,0,103,1
0,0,1,1,1,4,0,0,1,0,1,26135,6,0,103,1
0,0,0,0,0,13,0,7,0,0,1,168968,420,0,103,1
0,1,3,1,1,25,46,7,1,1,1,3620,210,0,4,1
1,0,0,0,0,169,3,20,1,1,1,457637,9,0,160,1
0,0,1,1,0,6,0,10,1,0,1,5281,2,639,15,1
0,1,0,1,1,64,0,5,1,1,1,133469,16,594,137,1
0,2,0,1,0,5,0,18,1,0,1,4451,2,180,82,1
1,0,0,0,0,2739,230,8,1,0,1,469415,150,0,43,1
0,0,0,1,0,0,0,12,1,0,1,427300,13,793,54,1
0,0,0,1,0,268,0,7,1,1,1,102628,60,0,12,1
0,0,0,0,0,204,0,13,1,0,1,2800000,90,2544,19,1
0,2,0,0,0,5,218,6,1,1,0,785,9,75,53,1
1,3,0,1,0,675,4334,7,1,1,1,635228,150,1031,64,1
0,0,0,1,0,0,0,7,1,0,1,151299,390,793,32,1
0,0,0,0,0,9,20,7,1,1,1,5945,10,2812,38,1
1,1,28,1,1,10,86,20,1,1,1,13452,12,2812,38,1
0,0,0,0,0,21,123,20,1,1,1,35396,15,738,118,1
0,0,0,0,0,141,0,20,1,1,1,3500000,22,0,37,1
0,0,0,0,0,0,0,0,0,0,0,20687,120,2247,39,1
0,0,0,0,0,6,0,4,1,1,0,52466,8,401,75,1
1,0,0,0,0,20,115,20,1,1,0,43387,23,0,18,1
0,0,0,1,0,0,0,0,1,0,0,8952,5,0,22,1
1,0,0,0,0,4,0,17,1,1,0,1570,5,684,289,1
0,2,0,1,0,14,204,7,1,0,1,1761,6,1317,19,1
0,2,0,1,0,17,105,0,1,0,1,5900,5,0,19,1
0,0,0,1,0,344,3695,17,1,1,1,589618,450,0,67,1
1,0,15,0,0,0,0,0,1,0,0,115849,8,15385,83,1
0,0,0,0,0,0,0,14,1,0,0,997,10,137,22,1
0,0,8,1,0,3,890,9,1,1,1,1747,9,1397,36,1
0,0,0,1,0,18,0,8,1,1,1,12899,4,0,61,1
1,2,1,0,0,149,6676,7,1,1,1,93872,360,0,20,1
0,1,0,0,0,219,0,8,1,0,1,2400000,450,0,61,1
1,2,1,1,0,135,0,7,1,1,1,68997,180,0,61,1
1,1,0,0,0,42,0,5,1,1,1,65354,240,0,3,1
0,0,0,0,0,1,0,9,0,1,0,18454,30,0,86,1
1,2,0,1,0,128,0,0,1,1,1,136735,60,0,15,1
0,1,1,1,1,0,0,10,1,0,1,14229,1,198,20,1
1,1,0,1,0,1322,0,8,1,1,1,191748,120,0,11,1
0,1,0,1,0,6,0,3,1,0,0,672,1,1841,124,1
0,2,1,1,1,10,0,5,1,0,1,8094,4,394,5,1
0,3,0,0,0,7,0,0,1,1,1,7522,9,193,17,1
1,1,0,1,0,1638,950,5,1,1,1,37630,180,0,78,1
0,2,0,0,64,61,0,13,1,1,1,198730,60,0,78,1
0,1,1,0,0,12,0,10,1,1,1,555406,360,0,78,1
1,1,0,0,0,23,92,8,1,1,1,1121462,750,0,78,1
0,1,3,0,1,304,0,7,1,0,0,27601,270,0,78,1
0,1,1,1,0,0,0,5,1,0,1,805915,2,105,17,1
0,0,0,0,0,0,0,14,0,0,0,4976,7,69,31,1
0,0,20,1,1,67,9,20,1,1,0,35689,60,0,38,1
0,0,0,1,0,55,0,5,1,0,0,3300000,330,0,11,1
0,2,0,0,0,17,24,0,1,0,0,282733,20,0,137,1
0,0,0,0,0,0,0,0,1,0,0,388,19,0,137,1
0,0,1,0,0,3,0,3,1,0,0,12906,26,0,24,1
1,0,0,0,0,69,5371,12,1,1,0,131102,210,0,24,1
0,1,1,1,1,8,0,5,1,0,0,46163,60,0,24,1
0,2,0,1,0,115,0,3,1,1,0,743539,60,0,280,1
1,1,1,1,0,122,0,10,1,1,0,193035,150,0,280,1
0,0,1,0,0,0,0,0,0,1,0,1813,5,0,280,1
0,1,1,1,1,4,0,5,1,0,1,232101,8,0,280,1
0,3,6,0,0,123,0,0,1,0,0,824756,90,0,280,1
0,3,0,1,0,10,0,15,1,1,0,224307,90,0,280,1
0,2,12,1,0,41,10,6,1,1,1,43774,28,0,9,1
0,0,0,0,0,0,0,0,1,0,0,2600,9,0,0,1
1,2,2,1,0,47,0,9,1,1,0,961399,180,242,36,1
0,0,0,0,0,0,0,0,1,0,1,1230,7,80,17,1
0,3,0,0,0,0,0,0,1,1,1,67046,24,223,17,1
0,0,0,1,0,481,248,16,1,0,1,56743,60,0,207,1
0,0,0,0,0,723,5433,5,1,1,1,13633,60,0,24,1
0,2,0,1,0,16,0,7,1,0,0,44197,15,210,106,1
0,1,1,1,1,17,0,17,1,0,1,3162,7,171,43,1
0,1,0,0,0,27,0,9,1,0,1,95632,4,70,24,1
0,1,0,0,0,0,0,4,0,1,0,493,15,502,509,1
1,0,0,0,0,4,0,7,1,0,1,201645,14,3403,50,1
0,0,0,0,0,0,0,4,1,0,1,29,1,3403,50,1
0,3,1,0,0,51,0,16,1,1,1,58217,60,0,2304,1
0,0,0,1,0,75,653,10,0,1,0,378304,150,0,2304,1
0,0,0,1,0,4,0,0,1,0,0,2012,10,8501,35,1
0,0,0,1,0,2203,0,13,1,0,1,162312,10,0,1,1
0,0,0,1,0,30,0,8,1,1,1,263401,240,0,16,1
0,0,0,1,0,0,0,12,0,0,1,5530,1110,0,9,1
0,1,1,1,0,8,967,5,1,0,1,15703,16,3729,132,1
0,0,0,0,0,0,0,4,1,1,1,1873,1,4,0,1
1,2,1,1,1,13,0,11,1,1,1,1269,14,105,12,1
0,0,0,0,0,2,0,12,1,0,1,30000,1,22,0,1
0,0,0,0,0,2089,0,14,1,0,1,91468,18,0,4664,1
0,0,1,1,0,10,66,18,1,0,1,43707,12,0,4664,1
0,0,0,0,0,73,9,18,1,1,0,88676,90,0,4664,1
1,5,0,1,0,3092,167,19,1,1,1,167232,150,0,4664,1
0,2,0,0,0,23,0,4,1,0,1,58177,8,0,4664,1
0,2,15,1,1,41,72,11,1,1,1,38977,90,0,4664,1
1,2,0,0,0,1123,106,19,1,1,1,29347,25,0,4664,1
1,1,1,1,1,140,162,7,1,1,1,114916,120,0,4664,1
0,0,4,0,1,102,0,11,1,1,1,3100000,210,0,4664,1
1,0,0,1,1,43,141,17,1,1,1,206749,210,0,4664,1
0,0,0,0,0,0,0,0,1,0,0,956,5,175,16,1
0,2,0,1,0,0,0,5,1,0,1,2672,4,0,0,1
1,1,0,1,0,9,0,8,1,0,1,678243,150,0,28,1
0,0,0,1,0,16,401,4,1,1,1,9358,21,155,17,1
0,0,0,0,0,0,0,4,1,0,0,4053,23,925,25,1
0,0,0,0,0,0,0,0,1,0,0,465,1,979,18,1
1,2,1,1,0,10,0,8,1,0,1,218495,5,539,19,1
0,1,1,0,0,9,52,5,1,1,1,3784,20,747,24,1
0,0,0,0,0,0,0,5,0,1,0,349,9,134,92,1
0,0,7,0,0,12,0,20,1,0,1,259615,1,867,10,1
1,2,0,1,0,99,95,17,1,1,1,57314,120,0,5,1
0,0,0,0,0,12,34,7,1,1,1,263884,13,5964,157,1
1,1,1,0,0,17,27,6,1,1,1,268604,23,5964,157,1
0,0,1,0,0,0,0,0,1,0,0,31281,1,290,15,1
0,0,0,0,0,0,0,20,1,1,1,298,1,609,19,1
0,0,0,0,0,16,0,0,0,0,0,66120,11,2690,26,1
0,0,0,0,0,45,0,20,1,1,0,372583,29,0,101,1
0,0,0,0,0,0,0,14,1,0,1,7645,4,6132,2,1
0,1,1,1,0,11,0,8,1,0,1,5315,8,492,34,1
0,1,0,0,0,0,0,4,1,0,1,828,330,1013,133,1
1,2,0,1,0,18,6,10,1,1,1,109130,10,0,9,1
0,0,0,1,0,2431,0,19,1,0,1,51373,13,0,26,1
0,0,0,0,0,14,0,0,1,0,0,533080,4,199,80,1
1,0,0,0,0,0,0,18,1,0,0,5979,9,688,85,1
0,0,0,0,0,0,0,0,1,1,1,404,60,1384,18,1
1,2,1,1,1,21,199,9,1,1,1,32708,23,352,9,1
0,0,0,0,0,0,0,9,1,1,0,15800000,60,264,30,1
0,0,0,0,0,2,0,0,1,1,0,5557,12,0,15,1
0,1,0,0,0,8,0,6,1,0,1,200728,450,0,15,1
1,1,0,1,0,31,273,9,1,1,1,17983,150,0,15,1
0,0,0,0,0,0,0,7,1,1,1,923,150,2394,64,1
0,0,0,0,0,0,0,0,1,0,0,8737,15,32667,42,1
1,1,1,1,0,5,0,11,1,0,1,4319,60,5574,13,1
0,0,0,0,0,171,221,16,1,1,1,127100,150,0,149,1
0,0,0,1,0,0,0,7,1,0,0,63750,29,5211,53,1
0,0,0,0,0,0,0,7,1,1,1,955,90,200,6,1
0,1,0,1,0,18,0,0,1,1,1,14397,60,820,22,1
0,0,0,0,0,0,0,19,1,1,0,41,6,1709,31,1
0,0,0,0,0,5,0,6,1,0,1,9360,4,250,17,1
1,1,1,1,1,10,861,15,1,1,1,17330951,90,0,1,1
0,1,0,0,0,10,73,10,1,1,1,2593,19,687,24,1
0,0,0,0,0,0,0,7,1,1,1,363,150,6607,17,1
0,0,0,0,0,0,0,6,1,0,1,972,4,219,15,1
0,0,0,1,0,90,0,9,1,1,1,27730,18,0,42,1
0,1,0,0,0,0,0,3,1,0,0,9684,7,0,42,1
0,1,4,1,0,23,0,15,1,0,1,23300,19,1150,7,1
1,3,0,1,7,159,8,10,1,1,0,506500,30,0,71,1
0,2,0,0,0,10,0,4,1,1,1,6737,9,0,15,1
0,0,0,0,0,0,0,6,1,1,0,4873,11,113,70,1
0,1,18,1,0,0,0,15,1,1,1,78304,2,1331,24,1
0,2,0,1,1,6,0,5,1,1,0,1368,12,3575,52,1
0,4,0,1,0,8,0,7,1,1,0,22073,60,3575,52,1
0,0,0,0,0,0,0,5,1,0,1,469,9,1106,26,1
0,0,0,0,0,0,0,9,1,0,1,181,27,1106,26,1
0,5,0,0,0,57,487,13,1,1,1,70495,150,0,4,1
0,0,0,0,0,0,0,3,1,0,0,10812,6,600,174,1
0,0,0,0,0,0,0,8,1,1,0,1100,9,19,0,1
0,0,0,0,0,0,0,20,0,0,0,54,8,0,25,1
0,0,0,0,0,2,0,11,1,1,1,643,60,539,13,1
0,1,0,0,0,82,0,20,1,1,0,1200000,180,0,171,1
0,0,0,0,0,0,0,7,0,1,1,330,2,975,102,1
0,0,0,0,0,6,0,9,1,0,1,4458,12,1379,49,1
0,1,1,1,1,0,0,7,1,0,1,28977,5,0,10,1
0,0,0,0,0,0,0,6,1,0,0,250,5,0,14,1
1,0,0,1,0,619,558,14,1,1,1,50249,60,0,45,1
0,0,0,0,0,429,0,16,1,1,1,48943,60,0,23,1
0,0,0,0,0,0,0,13,1,0,0,7652,90,0,93,1
0,1,3,1,1,0,0,3,1,0,0,5876,5,0,196,1
0,0,1,1,1,18,43,7,1,1,0,109849,6,0,2199,1
0,1,0,0,0,7,2575,17,1,0,1,416000,2,0,2199,1
0,1,0,1,0,0,0,7,1,1,0,156328,1,2393,12,1
0,1,0,1,0,3,0,0,1,0,1,1098,6,817,116,1
0,2,1,1,1,14,0,6,1,0,0,3729,6,276,96,1
0,0,0,0,0,3,0,1,1,0,0,304,26,2833,99,1
1,0,1,1,0,18,0,7,1,1,1,83858,60,0,2,1
0,0,0,0,0,0,0,1,1,0,0,17600,660,11154,16,1
1,0,0,0,0,0,0,2,1,0,0,872,7,239,2,1
0,0,0,0,0,0,0,0,1,0,0,32036,4,13502,11,1
0,1,0,0,0,9,0,7,1,1,0,66715,120,0,90,1
1,3,0,0,0,18,0,8,1,1,1,159700,180,0,90,1
0,0,0,0,0,111,0,7,0,0,0,218791,210,0,90,1
0,0,1,1,0,19,0,0,1,1,1,29571,23,0,579,1
